itemId,itemName,itemType,subType,description,iconKey,stackable,maxStack,weight,sellValue,rarityTier,isDroppable,isCraftable,factoryUsage,isProcessed,isFinalProduct
5203,전력 셀,power,battery,공장 전력을 위한 셀,5203,1,50,1.9,0,2,0,1,powerSource,0,0
5204,전력 케이블,power,cable,공장 전력을 연결하기 위한 케이블,5204,1,50,1.9,0,2,0,1,powerSource,0,0
5205,향수,material,chemical,고급스러운 향이 아직 남아 있는 향수다.,5205,1,1,1.9,0,1,0,0,extractable,0,0
6101,금괴,trade,luxury,아주 비싸보이는 금괴다.,6101,0,1,1.9,100,3,0,0,sellOnly,0,0
6102,다이아몬드 반지,trade,luxury,내 손가락보다 훨씬 작은 반지다.,6102,0,1,1.9,80,3,0,0,sellOnly,0,0
6103,명품 손목시계,material,luxury,유명한 브랜드의 시계다. 부서진 곳도 다행히 없다.,6103,0,1,1.9,40,3,0,0,shreddable,0,0
6104,금 목걸이,trade,luxury,굉장히 유명한 사람이 가지고 다니던 것 같다.,6104,0,1,1.9,120,3,0,0,sellOnly,0,0
6105,금 팔찌,trade,luxury,무거운 팔찌다.,6105,0,1,1.9,115,3,0,0,sellOnly,0,0
6106,빈티지 와인,trade,luxury,아주 오래된 것 같은 와인이다.,6106,0,1,1.9,110,3,0,0,sellOnly,0,0
6107,고급 카펫,trade,luxury,아름다운 문양이 새겨져있다.,6107,0,1,1.9,105,3,0,0,sellOnly,0,0
6108,보석 장식 브로치,trade,luxury,흙 하나 묻지 않은 하얀 브로치다.,6108,0,1,1.9,100,3,0,0,sellOnly,0,0
6109,금화,material,luxury,멋진 모양의 금화다.,6109,0,1,1.9,80,2,0,0,smeltable,0,0
6110,은 식기 세트,material,luxury,한 번도 사용하지 않은 것 같다.,6110,0,1,1.9,75,2,0,0,smeltable,0,0
6111,은화 세트,material,luxury,기념 은화를 모아놓은 것 같다.,6111,0,1,1.9,65,2,0,0,smeltable,0,0
6112,도자기 화병,trade,luxury,겉에 무늬가 아름답게 그려져있다.,6112,0,1,1.9,60,2,0,0,sellOnly,0,0
6113,액자 그림,trade,luxury,오래됬지만 아주 멋진 그림이 그려져있다.,6113,0,1,1.9,55,2,0,0,sellOnly,0,0
6114,시가 세트,trade,luxury,고급 시가가 깔끔하게 정리되어 있다.,6114,0,1,1.9,45,1,0,0,sellOnly,0,0
6115,위스키,trade,luxury,병이 엄청 고급져보인다.,6115,0,1,1.9,40,1,0,0,sellOnly,0,0
6116,금 반지,material,luxury,오래전에 제작된 금반지다.,6116,0,1,1.9,35,1,0,0,smeltable,0,0
6117,만년필,material,part,누군가의 각인이 새겨진 만년필이다.,6117,0,1,1.9,20,1,0,0,shreddable,0,0
8101,(보스1) 코어 조각,material,core,(보스 이름1)을 처치하고 획득한 코어 조각,8101,0,1,2,0,3,0,0,shreddable,0,0
8102,(보스2) 코어 조각,material,core,(보스 이름2)을 처치하고 획득한 코어 조각,8102,0,1,2,0,3,0,0,shreddable,0,0
8103,(보스3) 코어 조각,material,core,(보스 이름3)을 처치하고 획득한 코어 조각,8103,0,1,2,0,3,0,0,shreddable,0,0
8104,(보스4) 코어 조각,material,core,(보스 이름4)을 처치하고 획득한 코어 조각,8104,0,1,2,0,3,0,0,shreddable,0,0
